episode,total_time,total_created_tasks,accepted_tasks,dropped_tasks,completed_tasks,total_reward
0,0.0030074119567871094,100,52,48,47,-227.5
1,0.003000497817993164,100,58,42,52,-184.0
2,0.004527568817138672,100,61,39,56,-192.0
3,0.003008127212524414,100,64,36,58,-181.0
4,0.002993345260620117,100,65,35,59,-191.5
5,0.001998424530029297,100,65,35,59,-171.0
6,0.002000093460083008,100,71,29,64,-138.0
7,0.0029993057250976562,100,71,29,65,-134.5
8,0.0029985904693603516,100,72,28,65,-124.5
9,0.0019996166229248047,100,72,28,66,-152.0
10,0.003003358840942383,100,68,32,63,-157.0
11,0.0019979476928710938,100,72,28,64,-145.0
12,0.0030002593994140625,100,72,28,65,-147.0
13,0.002000570297241211,100,72,28,64,-150.5
14,0.0030057430267333984,100,78,22,71,-114.5
15,0.001996755599975586,100,72,28,66,-171.0
16,0.0019979476928710938,100,74,26,69,-141.5
17,0.0019996166229248047,100,70,30,64,-171.0
18,0.0019996166229248047,100,73,27,66,-163.5
19,0.0019998550415039062,100,78,22,69,-148.5
20,0.0030031204223632812,100,75,25,68,-139.5
21,0.001997709274291992,100,76,24,68,-147.0
22,0.001996755599975586,100,76,24,69,-137.5
23,0.0019996166229248047,100,75,25,66,-164.0
24,0.0019998550415039062,100,74,26,67,-171.0
25,0.002000093460083008,100,75,25,68,-179.0
26,0.0019998550415039062,100,75,25,69,-149.0
27,0.002000093460083008,100,73,27,67,-141.0
28,0.003998756408691406,100,77,23,69,-148.0
29,0.003004789352416992,100,75,25,68,-188.5
30,0.002995014190673828,100,79,21,73,-132.0
31,0.0030014514923095703,100,74,26,67,-192.5
32,0.0019998550415039062,100,72,28,64,-190.5
33,0.0019998550415039062,100,82,18,73,-114.5
34,0.002006053924560547,100,73,27,65,-176.5
35,0.002999544143676758,100,76,24,68,-163.5
36,0.0030014514923095703,100,74,26,66,-198.0
37,0.003998517990112305,100,80,20,73,-142.0
38,0.002001523971557617,100,75,25,67,-167.5
39,0.003991842269897461,100,75,25,66,-178.0
40,0.0030002593994140625,100,76,24,68,-179.5
41,0.0020017623901367188,100,76,24,68,-185.0
42,0.0019998550415039062,100,76,24,68,-177.5
43,0.002999544143676758,100,78,22,72,-165.5
44,0.002000570297241211,100,80,20,72,-155.0
45,0.0019996166229248047,100,76,24,67,-181.0
46,0.0020003318786621094,100,76,24,68,-188.0
47,0.0019996166229248047,100,74,26,66,-209.0
48,0.002002239227294922,100,76,24,67,-180.5
49,0.0050029754638671875,100,77,23,69,-140.0
50,0.0029985904693603516,100,78,22,70,-164.0
51,0.003000020980834961,100,78,22,69,-155.5
52,0.0029947757720947266,100,77,23,69,-159.0
53,0.003007650375366211,100,75,25,66,-183.0
54,0.002992868423461914,100,81,19,74,-124.0
55,0.0019998550415039062,100,79,21,71,-169.5
56,0.002001047134399414,100,82,18,73,-152.0
57,0.0019996166229248047,100,77,23,69,-171.0
58,0.0,100,77,23,69,-157.5
59,0.005000114440917969,100,77,23,68,-183.0
60,0.0021212100982666016,100,78,22,70,-155.0
61,0.0019927024841308594,100,77,23,68,-187.5
62,0.0020036697387695312,100,79,21,70,-177.5
63,0.001998424530029297,100,75,25,67,-195.0
64,0.0019974708557128906,100,76,24,69,-178.0
65,0.006535053253173828,100,78,22,70,-171.0
66,0.006007671356201172,100,78,22,69,-166.5
67,0.0029900074005126953,100,76,24,69,-187.5
68,0.004002809524536133,100,77,23,69,-174.5
69,0.0019941329956054688,100,74,26,66,-213.0
70,0.002004384994506836,100,81,19,72,-153.0
71,0.00400543212890625,100,80,20,71,-150.0
72,0.0019989013671875,100,75,25,66,-207.0
73,0.0019958019256591797,100,78,22,70,-178.5
74,0.003000497817993164,100,76,24,68,-175.5
75,0.0020003318786621094,100,77,23,70,-181.5
76,0.001999378204345703,100,77,23,69,-193.0
77,0.002519845962524414,100,82,18,73,-111.5
78,0.004003047943115234,100,80,20,71,-149.5
79,0.0030031204223632812,100,76,24,68,-199.0
80,0.004998683929443359,100,78,22,69,-166.5
81,0.0020036697387695312,100,75,25,66,-208.5
82,0.002995729446411133,100,77,23,68,-177.5
83,0.0019991397857666016,100,80,20,71,-166.5
84,0.00299835205078125,100,78,22,70,-170.0
85,0.004003047943115234,100,80,20,71,-168.0
86,0.002000570297241211,100,78,22,71,-165.5
87,0.0019936561584472656,100,78,22,69,-172.0
88,0.0029997825622558594,100,77,23,68,-182.0
89,0.0030090808868408203,100,84,16,75,-118.5
90,0.0019965171813964844,100,77,23,68,-174.5
91,0.0029954910278320312,100,76,24,67,-199.5
92,0.001999378204345703,100,78,22,70,-181.5
93,0.0019998550415039062,100,81,19,73,-138.5
94,0.0030002593994140625,100,82,18,74,-120.0
95,0.0020003318786621094,100,80,20,71,-166.5
96,0.0020003318786621094,100,79,21,72,-160.0
97,0.0019996166229248047,100,78,22,71,-167.5
98,0.002004861831665039,100,80,20,72,-140.0
99,0.0019948482513427734,100,80,20,71,-152.0
