episode,total_time,total_created_tasks,accepted_tasks,dropped_tasks,completed_tasks,total_reward
0,0.002998828887939453,100,78,22,70,-155.5
1,0.0019960403442382812,100,79,21,70,-155.5
2,0.0019960403442382812,100,80,20,71,-145.0
3,0.0020072460174560547,100,79,21,71,-144.5
4,0.002998828887939453,100,76,24,67,-184.0
5,0.001995086669921875,100,78,22,69,-160.5
6,0.0019979476928710938,100,80,20,72,-138.0
7,0.002996683120727539,100,84,16,75,-104.0
8,0.001998424530029297,100,78,22,69,-167.0
9,0.0019986629486083984,100,76,24,67,-183.0
10,0.0030040740966796875,100,75,25,67,-193.5
11,0.002996683120727539,100,80,20,72,-147.5
12,0.003007650375366211,100,78,22,70,-152.5
13,0.001997709274291992,100,79,21,72,-145.5
14,0.00301361083984375,100,80,20,71,-144.5
15,0.005003452301025391,100,81,19,73,-125.5
16,0.003001689910888672,100,82,18,73,-129.5
17,0.002995729446411133,100,76,24,68,-181.0
18,0.003236055374145508,100,76,24,69,-178.0
19,0.001997232437133789,100,80,20,72,-145.0
20,0.0019960403442382812,100,78,22,69,-166.5
21,0.0020024776458740234,100,79,21,70,-137.0
22,0.0009982585906982422,100,80,20,71,-155.5
23,0.003005504608154297,100,77,23,69,-172.0
24,0.0019998550415039062,100,75,25,67,-192.5
25,0.0009965896606445312,100,77,23,70,-160.0
26,0.0010061264038085938,100,82,18,73,-130.0
27,0.001995563507080078,100,80,20,71,-133.0
28,0.001996278762817383,100,79,21,72,-158.0
29,0.0010001659393310547,100,76,24,69,-178.5
30,0.0020020008087158203,100,80,20,73,-130.5
31,0.0019989013671875,100,78,22,70,-157.5
32,0.002007007598876953,100,74,26,66,-199.0
33,0.0019960403442382812,100,81,19,73,-126.5
34,0.0019998550415039062,100,77,23,70,-158.0
35,0.0019991397857666016,100,77,23,70,-168.0
36,0.001998424530029297,100,79,21,71,-146.5
37,0.0010018348693847656,100,80,20,71,-147.0
38,0.001999378204345703,100,77,23,70,-162.0
39,0.002008199691772461,100,77,23,70,-174.0
40,0.0020055770874023438,100,77,23,69,-168.5
41,0.002994537353515625,100,76,24,67,-181.5
42,0.0029959678649902344,100,78,22,69,-155.5
43,0.0030031204223632812,100,79,21,71,-149.0
44,0.0025169849395751953,100,80,20,73,-130.5
45,0.001010894775390625,100,77,23,69,-154.5
46,0.0009992122650146484,100,76,24,69,-176.0
47,0.001999378204345703,100,76,24,69,-176.5
48,0.0019981861114501953,100,78,22,70,-157.0
49,0.0010006427764892578,100,80,20,73,-143.5
50,0.0019996166229248047,100,79,21,70,-158.0
51,0.0010001659393310547,100,79,21,71,-152.0
52,0.0019996166229248047,100,75,25,66,-195.0
53,0.0019998550415039062,100,77,23,69,-166.5
54,0.0010001659393310547,100,81,19,75,-123.5
55,0.0019998550415039062,100,81,19,73,-134.0
56,0.0019998550415039062,100,80,20,71,-149.0
57,0.0010001659393310547,100,76,24,67,-176.0
58,0.0020008087158203125,100,80,20,72,-143.0
59,0.0019998550415039062,100,76,24,68,-181.5
60,0.0009996891021728516,100,81,19,72,-135.5
61,0.0019996166229248047,100,75,25,68,-191.0
62,0.0010004043579101562,100,78,22,70,-154.0
63,0.0019998550415039062,100,78,22,70,-159.5
64,0.0020012855529785156,100,78,22,70,-152.5
65,0.0019979476928710938,100,80,20,73,-138.5
66,0.0020003318786621094,100,79,21,70,-156.5
67,0.002013683319091797,100,79,21,71,-149.0
68,0.002991914749145508,100,76,24,68,-183.0
69,0.0029997825622558594,100,75,25,67,-190.0
70,0.0009989738464355469,100,79,21,71,-149.0
71,0.0019998550415039062,100,80,20,72,-132.5
72,0.0019986629486083984,100,77,23,69,-168.0
73,0.0009999275207519531,100,81,19,73,-135.0
74,0.0020008087158203125,100,77,23,69,-173.5
75,0.0030012130737304688,100,78,22,70,-167.5
76,0.0009951591491699219,100,80,20,71,-141.0
77,0.002000093460083008,100,87,13,78,-76.0
78,0.0010044574737548828,100,80,20,72,-131.5
79,0.0019953250885009766,100,75,25,67,-185.5
80,0.0010004043579101562,100,79,21,70,-146.5
81,0.0020046234130859375,100,76,24,68,-180.5
82,0.000995635986328125,100,76,24,69,-176.0
83,0.002000093460083008,100,78,22,70,-161.5
84,0.0009996891021728516,100,79,21,71,-153.5
85,0.002000093460083008,100,80,20,72,-134.5
86,0.0010066032409667969,100,79,21,70,-160.5
87,0.001993417739868164,100,79,21,70,-161.0
88,0.0009999275207519531,100,78,22,69,-168.5
89,0.0019998550415039062,100,81,19,74,-121.5
90,0.0010004043579101562,100,75,25,66,-183.0
91,0.0019998550415039062,100,77,23,69,-169.5
92,0.002000093460083008,100,77,23,70,-164.5
93,0.0009999275207519531,100,80,20,71,-139.0
94,0.0020003318786621094,100,83,17,75,-95.0
95,0.0009996891021728516,100,77,23,69,-179.5
96,0.002007722854614258,100,79,21,71,-146.5
97,0.0019974708557128906,100,77,23,68,-166.0
98,0.0009965896606445312,100,81,19,72,-140.5
99,0.001998424530029297,100,79,21,72,-143.0
