State,Action,Q-value
0,0,0.502727
0,1,0.232021
0,2,0.590490
0,3,0.407832
1,0,0.500533
1,1,0.000000
1,2,0.656100
1,3,0.543927
2,0,0.538911
2,1,0.729000
2,2,0.429056
2,3,0.599421
3,0,0.608383
3,1,0.000000
3,2,0.020269
3,3,0.045364
4,0,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.432907
6,0,0.000000
6,1,0.810000
6,2,0.000000
6,3,0.576979
8,0,0.000000
8,1,0.000000
8,2,0.002712
8,3,0.000000
9,0,0.000000
9,1,0.648545
9,2,0.000000
9,3,0.000000
10,0,0.359237
10,1,0.900000
10,2,0.000000
10,3,0.607360
13,0,0.000000
13,1,0.000000
13,2,0.893849
13,3,0.000000
14,0,0.710381
14,1,0.857381
14,2,1.000000
14,3,0.709752
